"","CitationCode","Reference","CreationDate","ModificationDate","ReadBy","GetIt","nvpCount"
"87",110,"Wilson, C.J., Mahanty, H.K., and Jackson, T.A. 1992. Biocontrol Sci. Technol. 2: 59-64.","1/8/2096","9/19/2099","","Get title",1
"88",111,"Glare, T.R. 1992. Hirsutella stylophora Mains, a pathogen of Costelytra zealandica (Coleoptera: Scarabaeidae) in New Zealand.  N. Z. Entomol. 15: 29-32.","1/8/2096","7/12/2096","","",1
"89",112,"Malone, L.A. 1990. N. Z. J. Agric. Res. 33: 459-465.","1/8/2096","7/8/2096","","",2
"90",113,"Miln, A. J. 1978.  Protozoan parasites of Costelytra zealandica (Coleoptera: Scarabaeidae) in New Zealand.   New Zealand Entomologist 6(4): 392-399.","1/8/2096","4/12/2099","smb","",4
"91",114,"Fowler, M., 1974.  Occurrence and experimental infection in larvae of Costelytra zealandica and other Scarabaeidae.   N. Z. J. Zool. 1:97-109.","1/8/2096","7/8/2096","","",1
"92",115,"Drea, J. J. and Gordan, R. D. 1990. Coccinellidae. pp.19-40. In Rosen, D. [ed.], Armored Scale Insects. Their Biology, Natural Enemies, and Control. vol. B. Elsevier Science Publishers. Amsterdam.","1/8/2096","7/16/2097","","",5
"93",116,"Jackson, T.A., and Glare, T.R. 1992. Rickettsial diseases of scarabs. pp. 33-42. In  Glare, T.R. and Jackson, T.A. [eds.], Use of Pathogens in Scarab Pest Management. Intercept Ltd. Andover, England.","1/8/2096","7/8/2096","","",26
"94",117,"Klein, M.G. and Jackson, T.A. 1992. Bacterial diseases of scarabs. pp. 33-42. In  Glare, T.R. and Jackson, T.A. [eds.], Use of Pathogens in Scarab Pest Management. Intercept Ltd. Andover, England.","1/8/2096","7/8/2096","","",40
"95",119,"Humber, R.A. 1995. Collection of entomopathogenic fungal cultures (unpublished) U.S. Department of Agriculture, Agriculture Research Service, Plant Protection Research Unit, U.S. Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.","1/8/2096","6/23/2000","","",76
"96",120,"Humber, R.A. 1986. USDA-ARS collection of entomopathogenic fungal cultures; catolog of strains. USDA-ARS Plant Protection Research Unit, US Plant, Soil, and Water Laboratory, Tower Rd., Ithaca, N. Y. 14853-0331.","1/8/2096","7/8/2096","","",45
"97",121,"McDonald, D.M. and Nolan, R.A. 1995. Effects of relative humidity and temperature on Entomophaga aulicae conidium discharge from infected eastern hemlock looper larvae and subsequent conidium development.  J. Invertebr. Pathol. 65:83-90.","1/8/2096","7/8/2096","","",NA
"98",122,"Krueger, S., Villani, M.G., Martins, A.S., and Roberts, D.W.  1992. Efficacy of soil applications of Metarhizium anisopliae Sorokin conidia, and standard lyophilized mycelial particles against scarab grubs. J. Invertebr. Pathol. 59:54-60.","1/8/2096","7/8/2096","","",1
"99",123,"Xu , J.,  and Hukuara, T., 1994. Biochemical properties of an enhancing factor of an Entomopoxvirus.  J. Invertebr. Pathol. 63: 14-18.","1/8/2096","7/8/2096","","",NA
"100",124,"Gijzen, M., Roelvink, P., and Granados, R. 1995. Characterization of viral enhancing activity from Trichoplusia ni Granulosis Virus.  J. Invertebr. Pathol. 65: 289-294.","1/8/2096","7/8/2096","","",NA
"101",125,"Barson, G., Renn, N., and Bywater, A.F. 1994.  Laboratory evaluation of six species of entomopathogenic fungi for the control of the house fly (Musca domestica L.), a pest of intensive animal units.  J. Invertebr. Pathol. 64: 107-113.","1/8/2096","7/8/2096","","",5
"102",126,"Schenkel, R.G.M., Nicolas, L., Franchon, E., and Hamon, S. 1992. Characterization and toxicity to mosquito larvae of four Bacillus sphaericus strains isolated from Brazilian soils. J. Invertebr. Pathol. 60: 10-14.","1/8/2096","7/8/2096","","",3
"103",127,"van der Geest, L.P.S., 1985.  Pathogens of spider mites. pp. 247-258. In  W. Helle and Sabelis, M.W.,  [eds.], Spider Mites: Their Biology, Natural Enemies and Control Vol. 1B.  Elsevier Science Publishers, Amsterdam.","1/8/2096","7/16/2097","","",19
"104",128,"Brown, G.C., and Hasibuan, R. 1995.  Conidial discharge and Transmission efficiency of Neozygites floridana, an entomopathogenic fungus infecting Two-spotted Spider mites under laboratory conditions.  J. Invertebr. Pathol.  65: 10-16.","1/8/2096","7/8/2096","","",1
"105",129,"Hodge, K.T., Sawyer, A.J., and Humber, R.A. 1995. RAPD-PCR for identification of Zoophthora radicans isolates in biological control of the Potato Leafhopper.  J. Invertebr. Pathol. 65: 1-9","1/8/2096","7/8/2096","","",1
"106",130,"Sanchez-Pena, S.R., and Thorvilson, H. G. 1995. Effect of long-term storage and conidial suspending agents on the virulence of Beauveria bassiana towardSolenopsis invicta.  J. Invertebr. Pathol. 65: 248-252.","1/8/2096","7/8/2096","","",1
"107",131,"Doyle, C.J., Hirst, M.L., Cory, J.S., and Entwistle, P.F. 1990. Risk assessment studies: detailed host range testing of wild-type cabbage moth, Mamestra brassicae  (Lepidoptera: Noctuidae) nuclear polyhedrosis virus. Appl. Environ. Microbiol. 56: 2704-2710.","1/8/2096","7/8/2096","","",NA
"108",133,"Ishihara, R., 1995. College of Agriculture and Veterinary Medicine, Nihon University, Japan. unpublished data.","1/8/2096","7/18/2096","","",1
