"","PathogenSpecies","Group","HighTaxon","LowTaxon","AdditionalNotes"
"232","Pandora delphacis","Fungi","Zygomycetes","Entomophthorales",""
"233","Pandora neoaphidis","Fungi","Zygomycetes","Entomophthorales",""
"234","Zoophthora canadensis","Fungi","Zygomycetes","Entomophthorales",""
"235","Zoophthora anglica","Fungi","Zygomycetes","Entomophthorales",""
"236","Zoophthora phytonomi","Fungi","Zygomycetes","Entomophthorales",""
"237","Zoophthora occidentalis","Fungi","Zygomycetes","Entomophthorales",""
"238","Zoophthora  sp.","Fungi","Zygomycetes","Entomophthorales",""
"239","Conidiobolus coronatus","Fungi","Zygomycetes","Entomophthorales",""
"240","Conidiobolus firmipilleus","Fungi","Zygomycetes","Entomophthorales",""
"241","Conidiobolus lachnodes","Fungi","Zygomycetes","Entomophthorales",""
"242","Conidiobolus macrosporus","Fungi","Zygomycetes","Entomophthorales",""
"243","Conidiobolus megalotocus","Fungi","Zygomycetes","Entomophthorales",""
"244","Conidiobolus coronatus","Fungi","Zygomycetes","Entomophthorales",""
"245","Conidiobolus obscurus","Fungi","Zygomycetes","Entomophthorales",""
"246","Conidiobolus osmodes","Fungi","Zygomycetes","Entomophthorales",""
"247","Conidiobolus pseudapiculatus","Fungi","Zygomycetes","Entomophthorales",""
"248","Conidiobolus  sp.","Fungi","Zygomycetes","Entomophthorales",""
"249","Conidiobolus thromboides ","Fungi","Zygomycetes","Entomophthorales",""
"250","Entomophaga asiatica","Fungi","Zygomycetes","Entomophthorales",""
"251","Entomophaga aulicae","Fungi","Zygomycetes","Entomophthorales","Which is current?  Entomophaga or Entomophthora"
"252","Entomophaga australiensis","Fungi","Zygomycetes","Entomophthorales",""
"253","Entomophaga calopteni","Fungi","Zygomycetes","Entomophthorales",""
"254","Entomophaga grylli","Fungi","Zygomycetes","Entomophthorales","Are Entomophaga and Entomophthora grylli synonyms?  "
"255","Entomophaga kansana","Fungi","Zygomycetes","Entomophthorales",""
"256","Entomophaga macleodii","Fungi","Zygomycetes","Entomophthorales",""
"257","Entomophaga praxibuli","Fungi","Zygomycetes","Entomophthorales",""
"258","Entomophaga  sp.","Fungi","Zygomycetes","Entomophthorales",""
"259","Entomophaga tabanivora","Fungi","Zygomycetes","Entomophthorales",""
"260","Entomophthora chromaphidis ","Fungi","Zygomycetes","Entomophthorales",""
"261","Entomophthora culicis","Fungi","Zygomycetes","Entomophthorales",""
"262","Entomophthora muscae","Fungi","Zygomycetes","Entomophthorales",""
"263","Entomophthora schizophorae","Fungi","Zygomycetes","Entomophthorales",""
"264","Entomophthora  sp.","Fungi","Zygomycetes","Entomophthorales",""
"265","Erynia aquatica","Fungi","Zygomycetes","Entomophthorales",""
"266","Erynia conica","Fungi","Zygomycetes","Entomophthorales",""
"267","Erynia curvispora","Fungi","Zygomycetes","Entomophthorales",""
"268","Erynia dipterigena","Fungi","Zygomycetes","Entomophthorales",""
"269","Erynia neopyralidarum","Fungi","Zygomycetes","Entomophthorales",""
"270","Erynia  sp.","Fungi","Zygomycetes","Entomophthorales",""
"271","Eryniopsis caroliniana","Fungi","Zygomycetes","Entomophthorales",""
"272","Furia virescens","Fungi","Zygomycetes","Entomophthorales","Formerly Erynia virescens?"
"273","Massospora cicadina","Fungi","Zygomycetes","Entomophthorales",""
"274","Pandora kondoiensis","Fungi","Zygomycetes","Entomophthorales",""
"275","Pandora nouryi","Fungi","Zygomycetes","Entomophthorales",""
"276","Strongwellsea castrans","Fungi","Zygomycetes","Entomophthorales",""
"277","Tarichium cytoneurae","Fungi","Zygomycetes","Entomophthorales",""
"278","Zoophthora  elateridiphaga","Fungi","Zygomycetes","Entomophthorales",""
"279","Zoophthora aphidis","Fungi","Zygomycetes","Entomophthorales",""
"280","Zoophthora phalloides","Fungi","Zygomycetes","Entomophthorales",""
"281","Neozygites floridana","Fungi","Zygomycetes","Entomophthorales",""
"282","Neozygites parvispora","Fungi","Zygomycetes","Entomophthorales","Entomophthora parvispora may be a synonym?   "
"283","Neozygites sp.","Fungi","Zygomycetes","Entomophthorales",""
"284","Neozygites tetranychi","Fungi","Zygomycetes","Entomophthorales",""
"285","Smittium morbosum","Fungi","Zygomycetes","Harpellales",""
"286","Mortierella  histoplasmatoides","Fungi","Zygomycetes","Mucorales",""
"287","Mortierella claussenii","Fungi","Zygomycetes","Mucorales",""
"288","Mortierella hyalina","Fungi","Zygomycetes","Mucorales",""
"289","Sporodiniella umbellata","Fungi","Zygomycetes","Mucorales",""
"290","Mucor  sp.","Fungi","Zygomycetes","Mucorales",""
"291","Torrubiella homopterorum","Fungi","Pyrenomycetes","Hypocreales",""
"292","Torrubiella ratticaudata","Fungi","Pyrenomycetes","Hypocreales",""
"293","Amblyospora albifasciati","Protozoa","Microspora","Microsporea (Microsporida)",""
"294","Amblyospora criniferis","Protozoa","Microspora","Microsporea (Microsporida)",""
"295","Amblyospora dolosi","Protozoa","Microspora","Microsporea (Microsporida)",""
"296","Amblyospora ferocis","Protozoa","Microspora","Microsporea (Microsporida)",""
"297","Amblyospora inataliae","Protozoa","Microspora","Microsporea (Microsporida)",""
"298","Amblyospora indubitantis","Protozoa","Microspora","Microsporea (Microsporida)",""
"299","Amblyospora tramazayguesi","Protozoa","Microspora","Microsporea (Microsporida)",""
"300","Campanulospora denticulata","Protozoa","Microspora","Microsporea (Microsporida)",""
"301","Flabelliforma montana ","Protozoa","Microspora","Microsporea (Microsporida)",""
"302","Geusia gamocysti ","Protozoa","Microspora","Microsporea (Microsporida)",""
"303","Semenovaia chironomi ","Protozoa","Microspora","Microsporea (Microsporida)",""
"304","Cristulospora sherbani","Protozoa","Microspora","Microsporea (Microsporida)",""
"305","Coccospora micrococcus","Protozoa","Microspora","Microsporea (Microsporida)",""
"306","Cougourdella polycentropi","Protozoa","Microspora","Microsporea (Microsporida)",""
"307","Cougourdella rhyacophilae","Protozoa","Microspora","Microsporea (Microsporida)",""
"308","Golbergia spinosa ","Protozoa","Microspora","Microsporea (Microsporida)",""
"309","Episeptum inversum","Protozoa","Microspora","Microsporea (Microsporida)",""
"310","Gurleya aeschnae","Protozoa","Microspora","Microsporea (Microsporida)",""
"311","Gurleya chironomi","Protozoa","Microspora","Microsporea (Microsporida)",""
"312","Gurleya legeri","Protozoa","Microspora","Microsporea (Microsporida)",""
"313","Gurleya linearis","Protozoa","Microspora","Microsporea (Microsporida)",""
"314","Gurleya secalisae","Protozoa","Microspora","Microsporea (Microsporida)",""
"315","Gurleya sp.","Protozoa","Microspora","Microsporea (Microsporida)",""
"316","Hessea squamosa","Protozoa","Microspora","Microsporea (Minisporida)",""
"317","Cystosporogenes operophterae ","Protozoa","Microspora","Microsporea (Microsporida)",""
"318","Cystosporogenes pristiphorae ","Protozoa","Microspora","Microsporea (Microsporida)",""
"319","Stempellia magna","Protozoa","Microspora","Microsporea (Microsporida)",""
"320","Stempellia mutabilis","Protozoa","Microspora","Microsporea (Microsporida)",""
"321","Tardivesicula duplicata ","Protozoa","Microspora","Microsporea (Microsporida)",""
"322","Pleistophora bohemica","Protozoa","Microspora","Microsporea (Microsporida)",""
"323","Telomyxa glugeiformis","Protozoa","Microspora","Microsporea (Microsporida)",""
"324","Telomyxa muscarum","Protozoa","Microspora","Microsporea (Microsporida)",""
"325","Telomyxa trichopterae","Protozoa","Microspora","Microsporea (Microsporida)",""
"326","Microsporidium longifilum","Protozoa","Microspora","Microsporea (Microsporida)",""
"327","Microsporidium mesnili","Protozoa","Microspora","Microsporea (Microsporida)",""
"328","Microsporidium calopterygis","Protozoa","Microspora","Microsporea (Microsporida)",""
"329","Microsporidium chapmani","Protozoa","Microspora","Microsporea (Microsporida)",""
"330","Microsporidium chironomi","Protozoa","Microspora","Microsporea (Microsporida)",""
"331","Microsporidium debaisieuxi","Protozoa","Microspora","Microsporea (Microsporida)",""
"332","Microsporidium ephemerae","Protozoa","Microspora","Microsporea (Microsporida)",""
"333","Microsporidium eriogastri","Protozoa","Microspora","Microsporea (Microsporida)",""
"334","Microsporidium francottei","Protozoa","Microspora","Microsporea (Microsporida)",""
"335","Microsporidium hyphantriae","Protozoa","Microspora","Microsporea (Microsporida)",""
"336","Microsporidium legeri","Protozoa","Microspora","Microsporea (Microsporida)",""
"337","Microsporidium leptophlebiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"338","Microsporidium micrococcus","Protozoa","Microspora","Microsporea (Microsporida)",""
"339","Microsporidium mutabilis","Protozoa","Microspora","Microsporea (Microsporida)",""
"340","Microsporidium portugal","Protozoa","Microspora","Microsporea (Microsporida)",""
"341","Microsporidium orthocladii","Protozoa","Microspora","Microsporea (Microsporida)",""
"342","Microsporidium polysporum","Protozoa","Microspora","Microsporea (Microsporida)",""
"343","Microsporidium romania","Protozoa","Microspora","Microsporea (Microsporida)",""
"344","Microsporidium rubstovi","Protozoa","Microspora","Microsporea (Microsporida)",""
"345","Microsporidium tabani","Protozoa","Microspora","Microsporea (Microsporida)",""
"346","Microsporidium termitis","Protozoa","Microspora","Microsporea (Microsporida)",""
"347","Microsporidium thailand","Protozoa","Microspora","Microsporea (Microsporida)",""
"348","Microsporidium thomsoni","Protozoa","Microspora","Microsporea (Microsporida)",""
"349","Microsporidium tuzetae","Protozoa","Microspora","Microsporea (Microsporida)",""
"350","Nosema  sp. ","Protozoa","Microspora","Microsporea (Microsporida)",""
"351","Buxtehudea scaniae ","Protozoa","Microspora","Microsporea (Minisporida)",""
"352","Chytridiopsis aquaticus","Protozoa","Microspora","Microsporea (Minisporida)",""
"353","Chytridiopsis clerci","Protozoa","Microspora","Microsporea (Minisporida)",""
"354","Chytridiopsis socius","Protozoa","Microspora","Microsporea (Minisporida)",""
"355","Nolleria pulicis ","Protozoa","Microspora","Microsporea (Minisporida)",""
"356","Caudospora alaskensis","Protozoa","Microspora","Microsporea (Microsporida)",""
"357","Caudospora nasiae","Protozoa","Microspora","Microsporea (Microsporida)",""
"358","Caudospora pennsylvanica","Protozoa","Microspora","Microsporea (Microsporida)",""
"359","Caudospora polymorpha","Protozoa","Microspora","Microsporea (Microsporida)",""
"360","Caudospora simulii","Protozoa","Microspora","Microsporea (Microsporida)",""
"361","Caudospora sp.","Protozoa","Microspora","Microsporea (Microsporida)",""
"362","Octosporea carlochagasi","Protozoa","Microspora","Microsporea (Microsporida)",""
