ERNnem,refCode,Reference,Host,Nematode
103,1260,"Eichhorn, O., 1988.  Untersuchungen über die Fichtengespinsblattwespen Cephalcia spp. PANZ (Hymenoptera, Panphiliidae). II. Die Larven- und Nymphenparasiten.  Journal of Applied Entomology 105: 105-140.",Acantholyda posticalis,Steinernema sp.
104,1289,"Gorgazde, O. A., 1988.  The nematode Neoaplectana thesami, new species found in Operophthera rumata L. Soobscen. Akad. Nauk, Gruz. SSR 130: 405-408.",Operophtera brumata,Steinernema sp.
105,1272,"Caballero, Pl, Vargas-Osuna, E. and Santiago-Alvarez, C., 1989.  Presencia de “gusanos grises” sobre diversos cultivos en Andalucia y Extremadura y sus parasitos y patogenos asociados,  Boletin de Sanidad Vegetal y Plagas 15: 3-7,",Agrotis ipsilon,Steinernema sp.
106,1272,"Caballero, Pl, Vargas-Osuna, E. and Santiago-Alvarez, C., 1989.  Presencia de “gusanos grises” sobre diversos cultivos en Andalucia y Extremadura y sus parasitos y patogenos asociados,  Boletin de Sanidad Vegetal y Plagas 15: 3-7,",Agrotis segetum,Steinernema sp.
107,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Sesamia nonagrioides,Steinernema sp.
228,1266,"Nguyen, K. B. and Smart, G. C., Jr., 1994.  Neosteinernema longicurvicaudum n. gen., n. sp. (Rhabditida: Steinernematidae), a parasite of the termite Reticulitermes flavipes (Koller).  Journal of Nematology 26: 162-174.",Reticulitermes flavipes,Neosteinernema longicurvicaudum
108,1237,"Poinar, G. O., Jr., 1992. Nematodes associated with Scarabaeidae, in  Use of Pathogens in Scarab Pest Management (Jackson, T.A. & Glare, T.R., eds.) Intercept, Andover. pp 93-109",Popillia japonica,Heterorhabditis bacteriophora
109,1305,"Glare, T.R., Jackson, T. A. and Zimmerman, G., 1993.  Entomophaga 38: 411-450.",Amphimallon solstitialis,Heterorhabditis bacteriophora
110,1238,"Poinar, G. O., Jr., 1990. Biology and taxonomy of Steinernematidae and Heterorhabditidae, in Entomopathogenic Nematodes in Biological Control (Gaugler, R. & Kaya, H. K., eds) CRC Press, Boca Raton, FL, pp. 23-61",Cyclocephala hirta,Heterorhabditis bacteriophora
111,1274,"Peters, A., 1996.  The natural host range of Steinernema and Heterorhabditis spp. and their impact on insect populations.  Biocontrol Science and Technology 6: 389-402.",Phyllophaga sp.,Heterorhabditis bacteriophora
